id,tipus,font,nom,municipi,sstt,ssttNou,enquesta,grups,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,a75paret,a75rodes,a65paret,a65rodes,aTotal,apTotal,srFixes,srRodes,srTotal,asm,mad,public,maleta,max
"43003112",ESC,Concertada 30% NESE,Sant Rafael,La Selva del Camp,TAR,TAR,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"43003124",ESC-ZER,Centre públic Dep. i CEB,Escola Sagrat Cor - ZER Conca de Barberà,Solivella,TAR,TAR,1,3,1,2,3,0,1,2,0,3,0,1,1,0,2,3,0,1,1,1,1,1,0,0
"43003136",ESC,Centre públic Dep. i CEB,Escola Bonavista,Bonavista (Tarragona),TAR,TAR,1,19,0,2,2,14,2,3,0,19,14,2,3,0,19,19,6,0,6,0,0,1,1,0
"43003185",ESC,Centre públic Dep. i CEB,Escola La Canonja,La Canonja,TAR,TAR,1,25,0,25,25,3,1,0,0,4,3,1,0,0,4,4,3,1,4,21,7,1,1,0
"43003227",ESC,Centre públic Dep. i CEB,Escola Sant Salvador,Sant Salvador (Tarragona),TAR,TAR,1,23,1,1,2,20,0,0,0,20,20,0,0,0,20,21,0,0,0,2,2,1,1,0
"43003306",ESC,Centre públic Dep. i CEB,Escola Serrallo,Tarragona,TAR,TAR,1,9,0,8,8,0,0,2,0,2,0,0,2,0,2,2,0,0,0,7,3,1,1,0
"43003321",ESC,Centre públic Dep. i CEB,Escola Sant Pere i Sant Pau,Tarragona,TAR,TAR,1,9,1,0,1,0,11,0,0,11,0,8,0,0,8,9,0,8,8,1,1,1,1,0
"43003501",IE,Concertada 30% NESE,El Carme,Tarragona,TAR,TAR,0,26,0,0,0,0,0,0,0,0,26,0,0,0,26,26,0,0,0,0,0,0,1,0
"43003525",IE,Concertada 30% NESE,Dominiques Tarragona,Tarragona,TAR,TAR,0,24,0,0,0,0,0,0,0,0,24,0,0,0,24,24,0,0,0,0,0,0,1,0
"43003616",EE,EE municipals,CEE San Rafael,Tarragona,TAR,TAR,0,1,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,1,0
"43003631",EE,EE Privats,Estela,Tarragona,TAR,TAR,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,1,0
"43003641",INS,Centre públic Dep. i CEB,Institut Antoni de Martí i Franquès,Tarragona,TAR,TAR,1,48,3,3,6,6,18,7,0,31,6,18,7,0,31,34,13,18,31,6,6,1,1,0
"43003653",INS,Centre públic Dep. i CEB,Institut Comte de Rius,Tarragona,TAR,TAR,1,22,0,0,0,14,4,0,0,18,14,4,0,0,18,18,14,4,18,0,0,1,1,0
"43003690",ESC,Centre públic Dep. i CEB,Escola de Pràctiques,Tarragona,TAR,TAR,1,18,0,0,0,13,6,0,0,19,13,5,0,0,18,18,13,5,18,0,0,1,1,0
"43003720",ESC,Centre públic Dep. i CEB,Escola El Miracle,Tarragona,TAR,TAR,1,13,3,0,3,11,0,0,0,11,10,0,0,0,10,13,10,0,10,3,3,1,1,0
"43003732",INS,Centre públic Dep. i CEB,Institut Pons d'Icart,Tarragona,TAR,TAR,1,21,0,1,1,21,1,0,0,22,21,0,0,0,21,21,0,1,1,0,0,1,1,0
"43003756",ESC,Centre públic Dep. i CEB,Escola Torreforta,Torreforta (Tarragona),TAR,TAR,1,18,0,0,0,18,1,0,0,19,18,0,0,0,18,18,0,0,0,0,0,1,1,0
"43003768",ESC,Centre públic Dep. i CEB,Escola Els Àngels,Torreforta (Tarragona),TAR,TAR,1,20,0,0,0,18,4,0,0,22,18,2,0,0,20,20,18,2,20,0,0,1,1,0
"43003801",ESC-ZER,Centre públic Dep. i CEB,Escola La Pineda - ZER Riu Avall,Tivenys,TEB,TEB,1,4,2,0,2,1,0,3,0,4,1,0,1,0,2,4,1,0,1,2,2,1,0,0
"43003835",ESC-ZER,Centre públic Dep. i CEB,Escola Josep Riba - ZER Les Vinyes,La Serra d'Almós (Tivissa),TEB,TEB,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
"43003847",ESC,Centre públic Dep. i CEB,Escola Marcel·lí Domingo,Tivissa,TEB,TEB,1,9,1,1,2,1,0,6,0,7,1,0,6,0,7,8,4,0,4,2,2,1,1,0
"43003884",ESC,Centre públic Dep. i CEB,Escola Antoni Roig,Torredembarra,TAR,TAR,1,19,0,0,0,19,0,0,0,19,19,0,0,0,19,19,10,0,10,0,0,1,1,0
"43003941",EE,EE municipals,CEE Sant Jordi,Jesús (Tortosa),TEB,TEB,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0
"43003951",ESC-ZER,Centre públic Dep. i CEB,Escola Bítem - ZER Riu Avall,Bítem (Tortosa),TEB,TEB,1,5,1,0,1,6,0,0,0,6,4,0,0,0,4,5,4,0,4,1,1,1,0,0
"43003975",ESC,Centre públic Dep. i CEB,Escola Sant Àngel,Camarles,TEB,TEB,1,11,4,2,6,10,1,0,0,11,7,0,0,0,7,11,4,1,5,4,3,1,1,0
"43003987",ESC-ZER,Centre públic Dep. i CEB,Escola Port rodó - ZER Mestral,Camp-redó (Tortosa),TEB,TEB,1,7,1,0,1,7,0,0,0,7,6,0,0,0,6,7,4,0,4,1,1,1,0,0
"43004013",ESC,Centre públic Dep. i CEB,Escola Sant Miquel,Deltebre,TEB,TEB,1,18,0,0,0,18,0,0,0,18,18,0,0,0,18,18,12,0,12,0,0,1,1,0
"43004037",ESC,Centre públic Dep. i CEB,Escola Maria García i Cabanes,L'Aldea,TEB,TEB,1,9,0,0,0,9,0,0,0,9,9,0,0,0,9,9,4,0,4,0,0,1,1,0
"43004050",ESC,Centre públic Dep. i CEB,Escola 21 d'Abril,L'Aldea,TEB,TEB,1,9,0,0,0,9,0,0,0,9,9,0,0,0,9,9,5,0,5,0,0,1,1,0
"43004074",ESC,Centre públic Dep. i CEB,Escola L'Assumpció,Deltebre,TEB,TEB,1,16,0,2,2,10,5,0,0,15,10,5,0,0,15,15,5,5,10,1,1,1,1,0
"43004116",ESC-ZER,Centre públic Dep. i CEB,Escola del Lligallo del Gànguil - ZER Mestral,El Lligallo del Gànguil (Camarles),TEB,TEB,1,4,1,0,1,4,0,0,0,4,3,0,0,0,3,4,3,0,3,1,1,1,0,0
"43004189",ESC,Centre públic Dep. i CEB,Escola Sant Jaume,Sant Jaume d'Enveja,TEB,TEB,1,13,0,0,0,13,0,0,0,13,13,0,0,0,13,13,4,0,4,0,0,1,1,0
"43004232",ESC,Centre públic Dep. i CEB,Escola La Mercè,Tortosa,TEB,TEB,1,11,2,4,6,10,1,0,0,11,9,0,0,0,9,11,2,0,2,2,2,1,1,0
