id,nom,municipi,sstt,ssttNou,idResposta,dataResposta,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,srFixes,srRodes,srTotal,retirada,armaris
"08038089",Escola Sant Esteve - ZER El Cardener,Valls de Torroella (Sant Mateu de Bages),CCE,CCE,4227732,30/03/2022,0,0,0,1,1,0,0,2,0,0,0,0,0
"08038090",Escola Sant Jaume,El Prat de Llobregat,BLL,BLL,4225522,29/03/2022,0,6,6,15,2,1,0,18,16,2,18,2,5
"08038156",Escola Escursell i Bartalot,Ripollet,VOC,VOC,4212016,22/03/2022,1,0,1,0,0,22,0,22,22,0,22,0,4
"08038168",Escola La Torreta,La Torreta (La Roca del Vallès),MVO,MVO,4213935,23/03/2022,2,2,4,8,0,0,0,8,0,0,0,5,9
"08038171",Escola Montessori,Rubí,VOC,VOC,4231647,01/04/2022,1,0,1,17,0,0,1,18,17,1,18,18,4
"08038181",Escola Serra i Húnter,Manresa,CCE,CCE,4228003,30/03/2022,0,6,6,0,14,0,0,14,0,14,14,0,4
"08038201",Escola La Baumeta - ZER Els Castells,Santa Maria de Besora,CCE,CCE,4229458,31/03/2022,1,1,2,0,0,0,0,0,0,0,0,0,1
"08038211",Escola José Juan Ortiz,Sant Andreu de la Barca,BLL,BLL,4212369,22/03/2022,0,0,0,22,0,0,0,22,22,0,22,16,4
"08038223",Escola Benviure,Sant Boi de Llobregat,BLL,BLL,4217823,25/03/2022,1,1,2,19,3,0,0,22,19,3,22,20,4
"08038247",Escola Pompeu Fabra,Vilanova del Camí,CCE,PEN,4212851,23/03/2022,0,0,0,18,2,0,0,20,10,0,10,10,4
"08038259",Escola Antoni Tàpies,Sant Boi de Llobregat,BLL,BLL,4211884,22/03/2022,1,2,3,16,0,0,0,16,6,0,6,16,4
"08038260",Escola Joan Maragall,Sant Cugat del Vallès,VOC,VOC,4239852,07/04/2022,1,0,1,2,2,6,9,19,8,11,19,1,8
"08038272",Escola García Lorca,Santa Margarida de Montbui,CCE,PEN,4217977,25/03/2022,0,0,0,18,0,0,0,18,18,0,18,18,4
"08038284",Escola La Guàrdia,Sant Vicenç dels Horts,BLL,BLL,4227952,30/03/2022,1,0,1,11,1,0,0,12,10,1,11,10,1
"08038314",Escola Mare de Déu de Montserrat,Terrassa,VOC,VOC,4216368,24/03/2022,1,0,1,8,0,0,1,9,0,0,0,0,0
"08038326",Escola El Vallès,Terrassa,VOC,VOC,4214617,23/03/2022,2,0,2,7,0,0,0,7,0,4,4,11,4
"08038351",Escola Xarau,Cerdanyola del Vallès,VOC,VOC,4227134,30/03/2022,1,0,1,10,0,0,0,10,3,0,3,8,3
"08038533",EA Massana,Barcelona,CEB,CEB,4229565,31/03/2022,0,0,0,3,4,0,0,7,0,2,2,0,2
"08038570",EOI de Barcelona,Barcelona,CEB,CEB,4226914,30/03/2022,0,0,0,46,10,0,0,56,0,10,10,25,0
"08038582",Escola Catalunya,Sabadell,VOC,VOC,4233760,04/04/2022,1,0,1,18,0,0,0,18,10,0,10,18,4
"08039057",Institut L'Alzina,Barcelona,CEB,CEB,4222033,28/03/2022,0,0,0,16,2,0,0,18,16,2,18,27,4
"08039069",Institut Margarida Xirgu,L'Hospitalet de Llobregat,BCO,BCO,4217554,25/03/2022,1,0,1,15,5,0,0,20,0,5,5,15,10
"08039203",Institut Agustí Serra i Fontanet,Sabadell,VOC,VOC,4227432,30/03/2022,2,0,2,33,0,0,0,33,33,0,33,1,1
"08039264",Escola Mestres Munguet-Cortés,Vilanova del Vallès,MVO,MVO,4213649,23/03/2022,1,2,3,17,0,0,0,17,0,0,0,24,4
"08039288",Escola Renaixença,Sant Pere Sacarrera i Urbanització Font (Mediona),BCO,PEN,4213788,23/03/2022,1,0,1,0,4,0,0,4,0,4,4,1,1
"08039291",Escola Cristòfor Mestre,Vilafranca del Penedès,BCO,PEN,4227294,30/03/2022,1,1,2,19,0,0,0,19,6,0,6,19,5
"08039306",Escola Els Pins - ZER El Moianès Ponent,Cabrianes (Sallent),CCE,CCE,4212864,23/03/2022,1,0,1,0,0,0,0,0,0,0,0,0,1
"08039318",Escola Puigberenguer,Manresa,CCE,CCE,4216762,24/03/2022,5,0,5,13,0,0,0,13,8,0,8,13,2
